mach_id,model_cd,pmtc_counter,pmtc_distance,create_update_date
A92Y0T1000084,C6085,2813621.0,0.0,2025-04-30 08:33:28.000
A92Y0T1000060,C6085,7221940.0,0.0,2025-04-30 04:24:17.000
A92Y0T1000013,C6085,14747440.0,0.0,2025-04-30 04:50:11.000
A92Y0T1000071,C6085,5301235.0,0.0,2025-04-30 05:40:17.000
A92Y0T1000055,C6085,7950321.0,0.0,2025-04-30 04:38:37.000
A92Y0T1000030,C6085,7038037.0,0.0,2025-04-26 06:27:06.000
A92Y0T1000002,C6085,15806840.0,0.0,2025-04-16 09:33:01.000
A92Y0T1000070,C6085,5288162.0,0.0,2025-04-30 05:45:47.000
A92Y0T1000046,C6085,15955929.0,0.0,2025-04-30 04:57:38.000
A92Y0T1000088,C6085,5802288.0,0.0,2025-04-30 04:42:31.000
A92Y0T1000120,C6085,3315054.0,0.0,2025-04-30 03:52:39.000
A92Y0T1000057,C6085,5473965.0,0.0,2025-04-30 05:00:29.000
A92Y0T1000052,C6085,6638883.0,0.0,2025-04-30 05:10:01.000
A92Y0T1000051,C6085,7445867.0,0.0,2025-04-30 02:37:16.000
A92Y0T1000045,C6085,6039671.0,0.0,2025-04-30 03:54:56.000
A92Y0T1000020,C6085,7879035.0,0.0,2025-04-30 05:05:11.000
A92Y0T1000048,C6085,15116049.0,0.0,2025-04-21 06:02:24.000
A92Y0T1000106,C6085,5435870.0,0.0,2025-04-30 04:19:17.000
A92Y0T1000044,C6085,4665684.0,0.0,2025-04-30 12:15:29.000
A92Y0T1000029,C6085,4570815.0,0.0,2025-04-30 04:10:16.000
A92Y0T1000082,C6085,5853282.0,0.0,2025-04-30 05:24:37.000
A92Y0T1000081,C6085,4761446.0,0.0,2025-04-30 04:21:46.000
A92Y0T1000007,C6085,11730555.0,0.0,2025-04-30 03:49:06.000
A92Y0T1000014,C6085,9018329.0,0.0,2025-04-30 05:03:51.000
A92Y0T1000009,C6085,6637256.0,0.0,2025-04-30 06:06:57.000
A92Y0T1000116,C6085,4395934.0,0.0,2025-04-26 05:07:01.000
A92Y0T1000117,C6085,5325838.0,0.0,2025-04-30 05:45:27.000
A92Y0T1000018,C6085,2695388.0,0.0,2025-04-30 05:28:37.000
A92Y0T1000010,C6085,16149602.0,0.0,2025-04-30 04:46:38.000
A9CU011000035,C2060,913687.0,466.0,2025-04-30 21:30:47.000
A9CU011000012,C2060,1301802.0,556.0,2025-04-30 10:14:49.000
A9CU011000048,C2060,3859701.0,1416.0,2025-04-30 18:05:52.000
A9CU011000013,C2060,1111654.0,822.0,2025-04-30 15:40:15.000
A9CU011000028,C2060,1665709.0,826.0,2025-04-30 22:17:43.000
A9CU011000038,C2060,197630.0,260.0,2025-04-30 16:20:35.000
A9CU011000027,C2060,3898837.0,1483.0,2025-04-30 14:08:44.000
A9CU011000016,C2060,2473785.0,915.0,2025-04-30 17:49:52.000
A9CU011000010,C2060,2253667.0,887.0,2025-04-30 16:07:01.000
A9CU011000043,C2060,1495979.0,969.0,2025-04-30 11:09:53.000
A9CU011000045,C2060,919202.0,515.0,2025-04-30 18:36:02.000
A9CU011000030,C2060,1310460.0,626.0,2025-04-30 16:16:51.000
A9CU011000004,C2060,291461.0,303.0,2025-04-30 04:04:56.000
A9CU011000033,C2060,1611020.0,637.0,2025-04-25 20:45:22.000
A9CU011000017,C2060,623816.0,380.0,2025-04-30 19:36:26.000
A9CU011000015,C2060,198344.0,219.0,2025-04-30 13:42:30.000
A9CU011000011,C2060,1835710.0,804.0,2025-04-30 12:59:34.000
